Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6582496,"Finch (Ambergris, #3)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0980226015""","=""9780980226010""",1,3.98,Underland Press,Paperback,320,2009,2009,2021/05/14,2021/05/08,,,read,,,,1,,,0,,,,,
13343734,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.29,Gollancz,Kindle Edition,669,2011,2009,2021/07/26,2021/07/01,,,read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Nina Guerra, David McDuff, Filipe Guerra","=""0143058142""","=""9780143058144""",0,4.24,Penguin,Paperback,671,2002,1866,,2022/01/25,couldnt-hack,couldnt-hack (#1),read,,,,1,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.10,Harper,Mass Market Paperback,417,2003,1967,,2021/04/19,couldnt-hack,couldnt-hack (#2),read,,,,1,,,0,,,,,
54808208,The Light Ages: A Medieval Journey of Discovery,Seb Falk,"Falk, Seb",,"=""""","=""""",4,3.70,,Kindle Edition,416,2020,2020,2022/03/04,2021/11/18,,,read,,,,1,,,0,,,,,
14781491,"The Time of Contempt (The Witcher, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""0316219134""","=""9780316219136""",4,4.17,Orbit,Paperback,331,2013,1995,2022/02/23,2022/02/19,,,read,,,,1,,,0,,,,,
5308,The Pearl,John Steinbeck,"Steinbeck, John",,"=""0142000698""","=""9780142000694""",4,3.50,Penguin Books,Paperback,96,2002,1945,2022/02/15,2022/02/12,,,read,,,,1,,,0,,,,,
6043781,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""031602919X""","=""9780316029193""",3,4.10,Hachette Book Group,Mass Market Paperback,398,2009,1994,2022/02/10,2022/02/03,,,read,,,,1,,,0,,,,,
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",4,4.07,Dell Publishing,Paperback,303,1999,1973,2022/01/22,2022/01/18,,,read,,,,1,,,0,,,,,
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.11,Harper Voyager,ebook,531,2018,2018,,2022/01/13,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
54968118,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,"Isaacson, Walter",,"=""1982115858""","=""9781982115852""",0,4.32,Simon  Schuster,Hardcover,536,2021,2021,,2022/01/13,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
790171,Kon-Tiki,Thor Heyerdahl,"Heyerdahl, Thor",,"=""0671726528""","=""9780671726522""",0,4.14,Rand McNally,Paperback,240,1990,1948,,2022/01/02,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
8770487,"Founding Gardeners: The Revolutionary Generation, Nature, and the Shaping of the American Nation",Andrea Wulf,"Wulf, Andrea",,"=""0307269906""","=""9780307269904""",0,4.04,Knopf,Hardcover,352,2011,2011,,2022/01/02,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
44784545,A Chip Shop in Poznań,Ben Aitken,"Aitken, Ben",,"=""1785785583""","=""9781785785580""",0,3.51,Icon Books,Paperback,356,2019,2019,,2022/01/02,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
11861694,The Housekeeper and the Professor,Yōko Ogawa,"Ogawa, Yōko",,"=""""","=""""",5,4.03,,Kindle Edition,192,,2003,2021/12/28,2021/12/27,,,read,,,,1,,,0,,,,,
39296042,"Mad, Bad, Dangerous to Know: The Fathers of Wilde, Yeats and Joyce",Colm Tóibín,"Tóibín, Colm",,"=""1476785171""","=""9781476785172""",5,3.67,Scribner,Hardcover,272,2018,2018,,2021/07/28,,,read,,,,1,,,0,,,,,
50887097,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,"Miller, Lulu",,"=""""","=""""",0,4.21,Simon  Schuster,Hardcover,225,2020,2020,,2021/12/27,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
186364,Cup of Gold,John Steinbeck,"Steinbeck, John",Susan F. Beegel,"=""0141186127""","=""9780141186122""",0,3.42,Penguin Classics,Paperback,187,2008,1929,,2021/12/27,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
55881796,Crossroads,Jonathan Franzen,"Franzen, Jonathan",,"=""0374181179""","=""9780374181178""",0,4.12,"Farrar, Straus and Giroux",Hardcover,592,2021,2021,,2021/12/27,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
54540071,Jamaica Inn (Virago Modern Classics),Daphne du Maurier,"Maurier, Daphne du",,"=""""","=""""",3,3.88,Virago,Kindle Edition,302,2012,1936,2021/12/24,2021/12/05,,,read,,,,1,,,0,,,,,
30529738,The Island of doctor Moreau,H.G. Wells,"Wells, H.G.",,"=""""","=""""",4,3.73,LVL Editions,Kindle Edition,188,2016,1896,2021/12/05,2021/11/24,,,read,,,,1,,,0,,,,,
53485326,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",4,4.14,Gollancz,Kindle Edition,292,2020,1993,2021/11/23,2021/11/19,,,read,,,,1,,,0,,,,,
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""""","=""""",5,3.83,Penguin Classics,Paperback,260,2018,1818,2021/11/18,2021/05/23,,,read,,,,1,,,0,,,,,
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",0,3.71,Anchor Books,Paperback,209,1994,1958,,2021/11/18,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
33601960,Neverwhere,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.17,Review,Kindle Edition,364,2010,1996,2021/10/30,2021/09/23,,,read,,,,1,,,0,,,,,
19309613,The Birds and Other Stories,Daphne du Maurier,"Maurier, Daphne du",David Thompson,"=""""","=""""",4,4.05,Virago,Kindle Edition,243,2012,1952,2021/10/25,2021/10/25,,,read,,,,1,,,0,,,,,
24963101,"Northern Lights (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",4,4.00,RHCP Digital,Kindle Edition,416,2015,1995,2021/10/11,2021/10/04,,,read,,,,1,,,0,,,,,
27253060,"The Invention of Nature: The Adventures of Alexander von Humboldt, the Lost Hero of Science",Andrea Wulf,"Wulf, Andrea",,"=""""","=""""",5,4.26,John Murray,Kindle Edition,496,2015,2015,2021/10/09,2021/05/13,,,read,,,,1,,,0,,,,,
13895,"The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,"Jordan, Robert",,"=""1857232097""","=""9781857232097""",5,4.17,Orbit,Paperback,912,1994,1993,2021/10/07,2021/09/08,,,read,,,,1,,,0,,,,,
